Language,Ground Truth,Predicted,CER,WER,MER,Confidence,Status
bhojpuri.txt,हम आज इसकूल जाए में देरी कर देनी।,हम आज इसकूल जाए में देरी कर देनी।,0.0,0.0,0.0,0.8205,CORRECT
bhojpuri.txt,राम रोज बिहान जल्दी उठ के योगा करेला।,राम रोज बिहान जल्दी उठ के योगा करेला।,0.0,0.0,0.0,0.9839,CORRECT
bhojpuri.txt,भारत कई गो भाषा आ संस्कृति वाला देस ह।,भारत कई गो भाषा आ संस्कृति वाला देस ह।,0.0,0.0,0.0,0.998,CORRECT
bhojpuri.txt,बच्चा लोग के हमेशा सच बोले के चाहीं।,बच्चा लोग के हमेशा सच बोले के चाहीं।,0.0,0.0,0.0,0.94,CORRECT
bhojpuri.txt,आज मौसम बहुत नीक बा।,आज मौसम बहुत नीक बा।,0.0,0.0,0.0,0.9992,CORRECT
bhojpuri.txt,किसान खेत में गहूँ काट रहल बा।,किसान खेत में गहूँ काट रहल बा।,0.0,0.0,0.0,0.998,CORRECT
bhojpuri.txt,हमनी के अपना माई-बाप के आदर करे के चाहीं।,हमनी के अपना माई-बाप के आदर करे के चाहीं।,0.0,0.0,0.0,0.9906,CORRECT
bhojpuri.txt,ऊ लाइब्रेरी में किताब पढ़त रहली।,ऊ लाइब्रेरी में किताब पढ़त रहली।,0.0,0.0,0.0,0.9957,CORRECT
bhojpuri.txt,रेलगाड़ी आज देरी से पहुँचल।,रेलगाड़ी आज देरी से पहुँचल।,0.0,0.0,0.0,0.999,CORRECT
bhojpuri.txt,डाक्टर मरीज के दवाई समय पर खाए के कहलन।,डाक्टर मरीज के दवाई समय पर खाए के कहलन।,0.0,0.0,0.0,0.9901,CORRECT
bhojpuri.txt,पेड़ से साफ हवा मिलेला।,पेड़ से साफ हवा मिलेला।,0.0,0.0,0.0,0.9133,CORRECT
bhojpuri.txt,लइका लोग परीक्षा खातिर मेहनत करत बा।,लइका लोग परीक्षा खातिर मेहनत करत बा।,0.0,0.0,0.0,0.987,CORRECT
bhojpuri.txt,नदी में बरखा से पानी बढ़ गइल बा।,नदी में बरखा से पानी बढ़ गइल बा।,0.0,0.0,0.0,0.9597,CORRECT
bhojpuri.txt,ऊ अपना दोस्त के जनमदिन के बधाई दिहलस।,ऊ अपना दोस्त के जनमदिन के बधाई दिहलस।,0.0,0.0,0.0,0.9856,CORRECT
bhojpuri.txt,गाँव में सभे मिलके परोगराम मना रहल बा।,गाँव में सभे मिलके परोगराम मना रहल बा।,0.0,0.0,0.0,0.9856,CORRECT
bhojpuri.txt,हमरा गणित के सवाल हल करे में मजा आवेला।,हमरा गणित के सवाल हल करे में मजा आवेला।,0.0,0.0,0.0,0.9925,CORRECT
